id;node_sn;timestamp;GPS_lat;GPS_lon;GPS_alt;GPS_speed;GPS_num_sats;ACC_x_RMS;ACC_y_RMS;ACC_z_RMS;ACC_x_MEAN;ACC_y_MEAN;ACC_z_MEAN;ACC_samples;MAG_x_RMS;MAG_y_RMS;MAG_z_RMS;MAG_x_MEAN;MAG_y_MEAN;MAG_z_MEAN;MAG_samples;temperature;is_anomaly;raw_MSE;score
86;22;06/03/2022 22:45;45.245.059.967.041.000;1.984.803.009.033.200;87;0;3;0;0;0;0.459844;0;-102.698;1;0;0;0;37;18;1;1;196.841;NULL;NULL;NULL
87;22;06/03/2022 23:46;4.524.501.037.597.650;19.847.000.122.070.300;5;0;4;0;0;0;0.306563;0;-9.81;1;0;0;0;37;18;1;1;182.154;NULL;NULL;NULL
88;22;07/03/2022 00:46;4.524.507.141.113.280;19.848.100.662.231.400;103;0;4;0;0;0;0.613125;0;-102.698;1;0;0;0;37;18;1;1;17.895;NULL;NULL;NULL
89;22;07/03/2022 01:48;4.524.496.841.430.660;1.984.787.940.979.000;73;0;2;0;0;0;0.306563;-0.153281;-101.166;1;0;0;0;37;18;1;1;19.604;NULL;NULL;NULL
90;22;07/03/2022 02:49;4.524.502.944.946.280;1.984.794.044.494.620;89;0;3;0;0;0;0.459844;0;-102.698;1;0;0;0;37;18;1;1;213.932;NULL;NULL;NULL
91;22;07/03/2022 03:50;45.244.998.931.884.700;19.847.660.064.697.200;33;0;4;0;0;0;0.613125;-0.153281;-105.764;1;0;0;0;37;18;1;1;213.398;NULL;NULL;NULL
92;22;07/03/2022 04:51;4.524.441.146.850.580;19.846.939.086.914.000;-4;0;3;0;0;0;0.459844;-0.153281;-102.698;1;0;0;0;37;18;1;1;225.948;NULL;NULL;NULL
93;22;07/03/2022 05:52;4.524.509.811.401.360;19.847.389.221.191.400;24;0;2;0;0;0;0.459844;0;-102.698;1;0;0;0;37;18;1;1;222.477;NULL;NULL;NULL
94;22;07/03/2022 06:53;4.524.510.955.810.540;19.847.759.246.826.100;70;0;4;0;0;0;0.613125;0;-996.328;1;0;0;0;37;18;1;1;277.485;NULL;NULL;NULL
95;22;07/03/2022 07:54;45.245.059.967.041.000;19.847.620.010.375.900;74;0;3;0;0;0;0.613125;0.153281;-950.344;1;0;0;0;37;18;1;1;399.519;NULL;NULL;NULL
96;22;07/03/2022 08:56;4.524.497.985.839.840;19.848.350.524.902.300;118;0;4;0;0;0;0.306563;0;-102.698;1;0;0;0;37;18;1;1;879.377;NULL;NULL;NULL
97;22;07/03/2022 09:55;4.524.504.852.294.920;19.847.820.281.982.400;70;0;3;0;0;0;0.153281;0.153281;-101.166;1;0;0;0;37;18;1;1;115.015;NULL;NULL;NULL
98;22;07/03/2022 10:56;4.524.504.089.355.460;19.847.579.956.054.600;80;0;3;0;0;0;0.306563;-0.153281;-996.328;1;0;0;0;37;18;1;1;125.055;NULL;NULL;NULL
99;22;07/03/2022 11:57;4.524.502.944.946.280;19.848.169.326.782.200;80;0;4;0;0;0;0.153281;0;-105.764;1;0;0;0;37;18;1;1;116.136;NULL;NULL;NULL
100;22;07/03/2022 12:57;4.524.507.141.113.280;19.848.180.770.874.000;111;0;4;0;0;0;0.306563;0.153281;-104.231;1;0;0;0;37;18;1;1;117.632;NULL;NULL;NULL
101;22;07/03/2022 13:58;4.524.396.896.362.300;19.847.339.630.126.900;-62;0;3;0;0;0;0.153281;0;-102.698;1;0;0;0;37;18;1;1;110.555;NULL;NULL;NULL
102;22;07/03/2022 14:59;4.524.489.974.975.580;19.847.320.556.640.600;32;0;5;0;0;0;0.153281;0;-101.166;1;0;0;0;37;18;1;1;949.607;NULL;NULL;NULL
103;22;07/03/2022 15:59;4.524.504.089.355.460;19.847.919.464.111.300;85;0;5;0;0;0;0.459844;0;-104.231;1;0;0;0;37;18;1;1;746.128;NULL;NULL;NULL
104;22;07/03/2022 17:01;4.524.504.852.294.920;19.847.909.927.368.100;88;0;3;0;0;0;0.306563;0;-105.764;1;0;0;0;37;18;1;1;519.951;NULL;NULL;NULL
105;22;07/03/2022 18:02;4.524.494.934.082.030;1.984.752.082.824.700;45;0;2;0;0;0;0.306563;0;-104.231;1;0;0;0;37;18;1;1;369.611;NULL;NULL;NULL
106;22;07/03/2022 19:03;45.245.521.545.410.100;19.844.179.153.442.300;-36;0;3;0;0;0;0.306563;-0.153281;-102.698;1;0;0;0;37;18;1;1;237.431;NULL;NULL;NULL
107;22;07/03/2022 20:03;4.524.470.138.549.800;1.984.646.987.915.030;6;0;2;0;0;0;0.306563;0;-102.698;1;0;0;0;37;18;1;1;264.668;NULL;NULL;NULL
108;22;07/03/2022 21:04;45.244.781.494.140.600;19.847.780.227.661.100;69;0;2;0;0;0;0.459844;0;-105.764;1;0;0;0;37;18;1;1;185.359;NULL;NULL;NULL
109;22;07/03/2022 22:06;4.524.502.944.946.280;19.847.740.173.339.800;81;0;3;0;0;0;0.459844;0;-105.764;1;0;0;0;37;18;1;1;111.658;NULL;NULL;NULL
110;22;07/03/2022 23:07;4.524.517.822.265.620;19.847.869.873.046.800;87;0;4;0;0;0;0.306563;0;-104.231;1;0;0;0;37;18;1;1;10.338;NULL;NULL;NULL
111;22;08/03/2022 00:08;4.524.496.841.430.660;19.847.740.173.339.800;56;0;4;0;0;0;0.153281;-0.153281;-107.297;1;0;0;0;37;18;1;1;0.4757;NULL;NULL;NULL
112;22;08/03/2022 01:09;4.524.509.811.401.360;19.848.159.790.039.000;118;0;3;0;0;0;0.306563;0;-101.166;1;0;0;0;37;18;1;1;0.585182;NULL;NULL;NULL
113;22;08/03/2022 02:10;4.524.528.884.887.690;19.848.970.413.208.000;157;0;1;0;0;0;0.153281;0;-105.764;1;0;0;0;37;18;1;1;0.670635;NULL;NULL;NULL
114;22;08/03/2022 03:11;4.524.481.964.111.320;1.984.688.949.584.960;19;0;4;0;0;0;0.306563;0;-10.883;1;0;0;0;37;18;1;1;0.147247;NULL;NULL;NULL
115;22;08/03/2022 04:12;4.524.504.852.294.920;19.847.759.246.826.100;72;0;4;0;0;0;0.459844;0;-102.698;1;0;0;0;37;18;1;1;-0.223927;NULL;NULL;NULL
116;22;08/03/2022 05:14;4.524.504.089.355.460;19.847.900.390.625;86;0;4;0;0;0;0.613125;0;-101.166;1;0;0;0;37;18;1;1;-0.189213;NULL;NULL;NULL
117;22;08/03/2022 06:15;45.245.059.967.041.000;198.485.107.421.875;136;0;3;0;0;0;0.306563;0;-104.231;1;0;0;0;37;18;1;1;-0.079731;NULL;NULL;NULL
118;22;08/03/2022 07:16;4.524.501.037.597.650;19.848.129.272.460.900;90;0;3;0;0;0;0.306563;0;-101.166;1;0;0;0;37;18;1;1;155.451;NULL;NULL;NULL
119;22;08/03/2022 08:17;4.524.504.089.355.460;19.847.829.818.725.500;88;0;4;0;0;0;0;0;-996.328;1;0;0;0;37;18;1;1;857.214;NULL;NULL;NULL
120;22;08/03/2022 09:17;45.244.998.931.884.700;1.984.840.965.270.990;130;0;4;0;0;0;0.613125;-0.153281;-104.231;1;0;0;0;37;18;1;1;127.485;NULL;NULL;NULL
121;22;08/03/2022 10:19;45.245.059.967.041.000;19.848.989.486.694.300;121;0;3;0;0;0;0;0.153281;-102.698;1;0;0;0;37;18;1;1;175.792;NULL;NULL;NULL
122;22;08/03/2022 11:21;4.524.502.944.946.280;1.984.796.905.517.570;81;0;3;0;0;0;0.306563;0.153281;-104.231;1;0;0;0;37;18;1;1;108.152;NULL;NULL;NULL
123;22;08/03/2022 12:19;45.245.079.040.527.300;19.848.270.416.259.700;74;0;3;0;0;0;0.306563;0;-950.344;1;0;0;0;37;18;1;1;110.101;NULL;NULL;NULL
124;22;08/03/2022 13:20;4.524.483.108.520.500;19.847.179.412.841.700;21;0;3;0;0;0;0.153281;0.153281;-101.166;1;0;0;0;37;18;1;1;121.023;NULL;NULL;NULL
125;22;08/03/2022 14:21;45.244.930.267.333.900;19.848.039.627.075.100;97;0;4;0;0;0;0.153281;0;-102.698;1;0;0;0;37;18;1;1;101.183;NULL;NULL;NULL
126;22;08/03/2022 15:21;4.524.502.182.006.830;19.848.100.662.231.400;92;0;4;0;0;0;0.306563;-0.153281;-102.698;1;0;0;0;37;18;1;1;926.909;NULL;NULL;NULL
127;22;08/03/2022 16:22;4.524.507.141.113.280;19.847.909.927.368.100;86;0;4;0;0;0;0.306563;0;-104.231;1;0;0;0;37;18;1;1;777.638;NULL;NULL;NULL
128;22;08/03/2022 17:23;4.524.494.934.082.030;19.847.740.173.339.800;59;0;3;0;0;0;0.306563;0;-102.698;1;0;0;0;37;18;1;1;59.659;NULL;NULL;NULL
129;22;08/03/2022 18:24;4.524.501.037.597.650;19.848.159.790.039.000;98;0;4;0;0;0;0.306563;-0.153281;-996.328;1;0;0;0;37;18;1;1;512.207;NULL;NULL;NULL
130;22;08/03/2022 19:25;45.244.991.302.490.200;19.847.980.499.267.500;81;0;3;0;0;0;0.306563;0;-104.231;1;0;0;0;37;18;1;1;42.195;NULL;NULL;NULL
131;22;08/03/2022 20:26;4.524.509.048.461.910;1.984.794.044.494.620;104;0;3;0;0;0;0.153281;0;-9.81;1;0;0;0;37;18;1;1;24.918;NULL;NULL;NULL
